"Date","Price","Open","High","Low","Change %"
"Jan 13, 2016","8.8196","8.8865","8.9053","8.7925","-0.69%"
"Jan 12, 2016","8.8807","8.9425","8.9579","8.8460","-0.65%"
"Jan 11, 2016","8.9386","8.8760","8.9589","8.8391","0.89%"
"Jan 08, 2016","8.8600","8.8842","8.9623","8.8571","-0.26%"
"Jan 07, 2016","8.8834","8.9515","8.9850","8.8706","-0.77%"
"Jan 06, 2016","8.9520","8.9090","8.9935","8.8900","0.48%"
"Jan 05, 2016","8.9093","8.8712","8.9664","8.8522","0.32%"
"Jan 04, 2016","8.8805","8.8208","8.9496","8.8079","0.14%"
"Jan 01, 2016","8.8683","8.8397","8.8714","8.8371","0.29%"
"Dec 31, 2015","8.8423","8.7831","8.8755","8.7779","0.56%"
"Dec 30, 2015","8.7928","8.7306","8.8482","8.6973","0.84%"
"Dec 29, 2015","8.7193","8.7017","8.7485","8.6567","0.21%"
"Dec 28, 2015","8.7013","8.6679","8.7119","8.6610","-0.07%"
"Dec 25, 2015","8.7075","8.6985","8.7117","8.6836","0.09%"
"Dec 24, 2015","8.6994","8.7197","8.7283","8.6469","-0.24%"
"Dec 23, 2015","8.7202","8.7194","8.7544","8.6842","0.01%"
"Dec 22, 2015","8.7194","8.7812","8.7860","8.6787","-0.71%"
"Dec 21, 2015","8.7819","8.7440","8.8142","8.7264","0.46%"
"Dec 18, 2015","8.7415","8.7667","8.7953","8.7176","-0.30%"
"Dec 17, 2015","8.7674","8.7647","8.8377","8.6708","0.07%"
"Dec 16, 2015","8.7614","8.6737","8.7898","8.6642","0.83%"
"Dec 15, 2015","8.6894","8.6466","8.7159","8.6063","0.37%"
"Dec 14, 2015","8.6570","8.6895","8.7550","8.6299","-0.31%"
"Dec 11, 2015","8.6837","8.6468","8.7240","8.6221","0.42%"
"Dec 10, 2015","8.6474","8.6701","8.6797","8.6055","-0.26%"
"Dec 09, 2015","8.6699","8.7889","8.8004","8.6484","-1.25%"
"Dec 08, 2015","8.7800","8.6667","8.8312","8.6420","1.40%"
"Dec 07, 2015","8.6584","8.5210","8.6811","8.5135","1.57%"
"Dec 04, 2015","8.5248","8.4837","8.5472","8.4549","0.48%"
"Dec 03, 2015","8.4837","8.6542","8.6805","8.4542","-1.96%"
"Dec 02, 2015","8.6531","8.6205","8.6847","8.5951","0.37%"
"Dec 01, 2015","8.6215","8.6967","8.7027","8.6120","-0.89%"
"Nov 30, 2015","8.6987","8.7020","8.7239","8.6617","-0.09%"
"Nov 27, 2015","8.7065","8.6587","8.7093","8.6479","0.50%"
"Nov 26, 2015","8.6635","8.6442","8.6762","8.6261","0.25%"
